TYP;KIERUNEK;SHAPE_LEN;vertex_pos;vertex_index;vertex_part;vertex_part_index;distance;angle;xcoord;ycoord;
lacznik drogowy;1;48.8391140432;0;0;0;0;0;332.9778380249477;17.040986373865763;51.07678269482004;
lacznik drogowy;1;48.8391140432;-1;9;0;9;48.839114043964344;293.9720014845341;17.04063839773236;51.077099479643316;
lacznik drogowy;1;12.1358097254;0;0;0;0;0;6.428668452696052;17.041023561758756;51.076962373090744;
lacznik drogowy;1;12.1358097254;-1;1;0;1;12.135809726669372;6.428668452696052;17.04104070865252;51.07707092552775;
lacznik drogowy;1;43.8762125924;0;0;0;0;0;195.63200142215288;17.040838786776686;51.077227766106645;
lacznik drogowy;1;43.8762125924;-1;5;0;5;43.876212591717405;181.68494166894718;17.040769227658856;51.07683719343719;
pas ruchu dla rowerow;1;20.158055045;0;0;0;0;0;8.522967815907888;17.040986373865763;51.07678269482004;
pas ruchu dla rowerow;1;20.158055045;-1;2;0;2;20.158055044538674;8.038115144101885;17.041023561758756;51.076962373090744;
lacznik drogowy;1;6.87488797654;0;0;0;0;0;225.76199713177417;17.041148070424786;51.07768140854827;
lacznik drogowy;1;6.87488797654;-1;1;0;1;6.874887976292494;225.76199713177417;17.041078682456448;51.07763772278625;
strefa ruchu uspokojonego 20 i 30 km/h;2;2.44693261452;0;0;0;0;0;5.4428850293269795;17.041148070424786;51.07768140854827;
strefa ruchu uspokojonego 20 i 30 km/h;2;2.44693261452;-1;1;0;1;2.4469326154285116;5.4428850293269795;17.04115092955939;51.07770333010581;
lacznik drogowy;1;9.92968615013;0;0;0;0;0;37.33428440584758;17.040841163562227;51.076430775883956;
lacznik drogowy;1;9.92968615013;-1;1;0;1;9.929686150908928;37.33428440584758;17.04092561855937;51.076502444627096;
pas ruchu dla rowerow;1;129.789279148;0;0;0;0;0;13.347177792882682;17.037548213392963;51.10407725764621;
pas ruchu dla rowerow;1;129.789279148;-1;4;0;4;129.7892791488644;13.657590425676498;17.03798505826141;51.10521100913743;
pas ruchu dla rowerow;1;25.0239420877;0;0;0;0;0;13.347409325613402;17.03747028454018;51.10385773488262;
pas ruchu dla rowerow;1;25.0239420877;-1;1;0;1;25.023942087033163;13.347409325613402;17.037548213392963;51.10407725764621;
pas ruchu dla rowerow;1;25.5842470604;0;0;0;0;0;194.7398126550767;17.03723857511847;51.104128264555726;
pas ruchu dla rowerow;1;25.5842470604;-1;1;0;1;25.584247060453027;194.7398126550767;17.03715026376252;51.103905111444256;
strefa ruchu uspokojonego 20 i 30 km/h;2;254.915448113;0;0;0;0;0;292.4370794100986;16.99976289876675;51.07306715310719;
